"Kod";"Nazwa";"Grupy osób";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"ogółem, w końcu roku";"2015";51229;"-";"";
0000000;"POLSKA";"ogółem, w końcu roku";"2016";63048;"-";"";
0000000;"POLSKA";"ogółem, w końcu roku";"2017";66917;"-";"";
0000000;"POLSKA";"ogółem, w końcu roku";"2018";62711;"-";"";
0000000;"POLSKA";"ogółem, w końcu roku";"2019";47773;"-";"";
0000000;"POLSKA";"ogółem, w końcu roku";"2020";43839;"-";"";
0000000;"POLSKA";"ogółem, w końcu roku";"2021";60358;"-";"";
0000000;"POLSKA";"ogółem, w końcu roku";"2022";44054;"-";"";
0000000;"POLSKA";"ogółem, w końcu roku";"2023";41049;"-";"";
0000000;"POLSKA";"ogółem, w końcu roku";"2024";38279;"-";"";
0000000;"POLSKA";"ogółem, w ciągu roku";"2015";;"-";"";
0000000;"POLSKA";"ogółem, w ciągu roku";"2016";;"-";"";
0000000;"POLSKA";"ogółem, w ciągu roku";"2017";;"-";"";
0000000;"POLSKA";"ogółem, w ciągu roku";"2018";;"-";"";
0000000;"POLSKA";"ogółem, w ciągu roku";"2019";;"-";"";
0000000;"POLSKA";"ogółem, w ciągu roku";"2020";1115658;"-";"";
0000000;"POLSKA";"ogółem, w ciągu roku";"2021";1362114;"-";"";
0000000;"POLSKA";"ogółem, w ciągu roku";"2022";1200769;"-";"";
0000000;"POLSKA";"ogółem, w ciągu roku";"2023";1071476;"-";"";
0000000;"POLSKA";"ogółem, w ciągu roku";"2024";1022396;"-";"";
0000000;"POLSKA";"niepełnosprawni, w końcu roku";"2015";3671;"-";"";
0000000;"POLSKA";"niepełnosprawni, w końcu roku";"2016";4542;"-";"";
0000000;"POLSKA";"niepełnosprawni, w końcu roku";"2017";3596;"-";"";
0000000;"POLSKA";"niepełnosprawni, w końcu roku";"2018";3144;"-";"";
0000000;"POLSKA";"niepełnosprawni, w końcu roku";"2019";2334;"-";"";
0000000;"POLSKA";"niepełnosprawni, w końcu roku";"2020";1969;"-";"";
0000000;"POLSKA";"niepełnosprawni, w końcu roku";"2021";2782;"-";"";
0000000;"POLSKA";"niepełnosprawni, w końcu roku";"2022";2193;"-";"";
0000000;"POLSKA";"niepełnosprawni, w końcu roku";"2023";1554;"-";"";
0000000;"POLSKA";"niepełnosprawni, w końcu roku";"2024";2059;"-";"";
0000000;"POLSKA";"niepełnosprawni, w ciągu roku";"2015";;"-";"";
0000000;"POLSKA";"niepełnosprawni, w ciągu roku";"2016";;"-";"";
0000000;"POLSKA";"niepełnosprawni, w ciągu roku";"2017";;"-";"";
0000000;"POLSKA";"niepełnosprawni, w ciągu roku";"2018";;"-";"";
0000000;"POLSKA";"niepełnosprawni, w ciągu roku";"2019";;"-";"";
0000000;"POLSKA";"niepełnosprawni, w ciągu roku";"2020";26372;"-";"";
0000000;"POLSKA";"niepełnosprawni, w ciągu roku";"2021";32549;"-";"";
0000000;"POLSKA";"niepełnosprawni, w ciągu roku";"2022";32478;"-";"";
0000000;"POLSKA";"niepełnosprawni, w ciągu roku";"2023";26673;"-";"";
0000000;"POLSKA";"niepełnosprawni, w ciągu roku";"2024";25344;"-";"";
0000000;"POLSKA";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2015";39;"-";"";
0000000;"POLSKA";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2016";55;"-";"";
0000000;"POLSKA";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2017";54;"-";"";
0000000;"POLSKA";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2018";51;"-";"";
0000000;"POLSKA";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2019";41;"-";"";
0000000;"POLSKA";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2020";35;"-";"";
0000000;"POLSKA";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2021";46;"-";"";
0000000;"POLSKA";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2022";37;"-";"";
0000000;"POLSKA";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2023";26;"-";"";
0000000;"POLSKA";"oferty pracy dla osób niepełnosprawnych na 1000 bezrobotnych niepełnosprawnych";"2024";42;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w końcu roku";"2015";5180;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w końcu roku";"2016";6119;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w końcu roku";"2017";7978;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w końcu roku";"2018";5401;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w końcu roku";"2019";4525;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w końcu roku";"2020";3793;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w końcu roku";"2021";5016;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w końcu roku";"2022";4180;"-";"";
1400000;"MAZOWIECKIE";"ogółem, w końcu roku";"2023";5412;"-";"";
