"Kod";"Nazwa";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"ogółem";"2015";1563339;"osoba";"";
0000000;"POLSKA";"ogółem";"2016";1335155;"osoba";"";
0000000;"POLSKA";"ogółem";"2017";1081746;"osoba";"";
0000000;"POLSKA";"ogółem";"2018";968888;"osoba";"";
0000000;"POLSKA";"ogółem";"2019";866374;"osoba";"";
0000000;"POLSKA";"ogółem";"2020";1046432;"osoba";"";
0000000;"POLSKA";"ogółem";"2021";895203;"osoba";"";
0000000;"POLSKA";"ogółem";"2022";812301;"osoba";"";
0000000;"POLSKA";"ogółem";"2023";788229;"osoba";"";
0000000;"POLSKA";"ogółem";"2024";786179;"osoba";"";
0000000;"POLSKA";"mężczyźni";"2015";747201;"osoba";"";
0000000;"POLSKA";"mężczyźni";"2016";622928;"osoba";"";
0000000;"POLSKA";"mężczyźni";"2017";486216;"osoba";"";
0000000;"POLSKA";"mężczyźni";"2018";426246;"osoba";"";
0000000;"POLSKA";"mężczyźni";"2019";386959;"osoba";"";
0000000;"POLSKA";"mężczyźni";"2020";484826;"osoba";"";
0000000;"POLSKA";"mężczyźni";"2021";413268;"osoba";"";
0000000;"POLSKA";"mężczyźni";"2022";375892;"osoba";"";
0000000;"POLSKA";"mężczyźni";"2023";373293;"osoba";"";
0000000;"POLSKA";"mężczyźni";"2024";380373;"osoba";"";
0000000;"POLSKA";"kobiety";"2015";816138;"osoba";"";
0000000;"POLSKA";"kobiety";"2016";712227;"osoba";"";
0000000;"POLSKA";"kobiety";"2017";595530;"osoba";"";
0000000;"POLSKA";"kobiety";"2018";542642;"osoba";"";
0000000;"POLSKA";"kobiety";"2019";479415;"osoba";"";
0000000;"POLSKA";"kobiety";"2020";561606;"osoba";"";
0000000;"POLSKA";"kobiety";"2021";481935;"osoba";"";
0000000;"POLSKA";"kobiety";"2022";436409;"osoba";"";
0000000;"POLSKA";"kobiety";"2023";414936;"osoba";"";
0000000;"POLSKA";"kobiety";"2024";405806;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"2015";216527;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"2016";188910;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"2017";154068;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"2018";136545;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"2019";123208;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"2020";146375;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"2021";129248;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"2022";116520;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"2023";110526;"osoba";"";
1400000;"MAZOWIECKIE";"ogółem";"2024";109020;"osoba";"";
1400000;"MAZOWIECKIE";"mężczyźni";"2015";111843;"osoba";"";
1400000;"MAZOWIECKIE";"mężczyźni";"2016";95107;"osoba";"";
1400000;"MAZOWIECKIE";"mężczyźni";"2017";75250;"osoba";"";
1400000;"MAZOWIECKIE";"mężczyźni";"2018";65440;"osoba";"";
1400000;"MAZOWIECKIE";"mężczyźni";"2019";59684;"osoba";"";
1400000;"MAZOWIECKIE";"mężczyźni";"2020";72353;"osoba";"";
1400000;"MAZOWIECKIE";"mężczyźni";"2021";63966;"osoba";"";
1400000;"MAZOWIECKIE";"mężczyźni";"2022";57522;"osoba";"";
1400000;"MAZOWIECKIE";"mężczyźni";"2023";56252;"osoba";"";
1400000;"MAZOWIECKIE";"mężczyźni";"2024";56340;"osoba";"";
1400000;"MAZOWIECKIE";"kobiety";"2015";104684;"osoba";"";
1400000;"MAZOWIECKIE";"kobiety";"2016";93803;"osoba";"";
1400000;"MAZOWIECKIE";"kobiety";"2017";78818;"osoba";"";
1400000;"MAZOWIECKIE";"kobiety";"2018";71105;"osoba";"";
1400000;"MAZOWIECKIE";"kobiety";"2019";63524;"osoba";"";
1400000;"MAZOWIECKIE";"kobiety";"2020";74022;"osoba";"";
1400000;"MAZOWIECKIE";"kobiety";"2021";65282;"osoba";"";
1400000;"MAZOWIECKIE";"kobiety";"2022";58998;"osoba";"";
1400000;"MAZOWIECKIE";"kobiety";"2023";54274;"osoba";"";
1400000;"MAZOWIECKIE";"kobiety";"2024";52680;"osoba";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2015";93311;"osoba";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2016";77697;"osoba";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2017";58857;"osoba";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2018";50867;"osoba";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2019";46313;"osoba";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2020";60958;"osoba";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2021";49850;"osoba";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2022";46289;"osoba";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2023";46531;"osoba";"";
3000000;"WIELKOPOLSKIE";"ogółem";"2024";46625;"osoba";"";
3000000;"WIELKOPOLSKIE";"mężczyźni";"2015";39504;"osoba";"";
3000000;"WIELKOPOLSKIE";"mężczyźni";"2016";31981;"osoba";"";
3000000;"WIELKOPOLSKIE";"mężczyźni";"2017";23091;"osoba";"";
3000000;"WIELKOPOLSKIE";"mężczyźni";"2018";19415;"osoba";"";
3000000;"WIELKOPOLSKIE";"mężczyźni";"2019";18327;"osoba";"";
3000000;"WIELKOPOLSKIE";"mężczyźni";"2020";25410;"osoba";"";
3000000;"WIELKOPOLSKIE";"mężczyźni";"2021";20250;"osoba";"";
3000000;"WIELKOPOLSKIE";"mężczyźni";"2022";19144;"osoba";"";
3000000;"WIELKOPOLSKIE";"mężczyźni";"2023";19340;"osoba";"";
3000000;"WIELKOPOLSKIE";"mężczyźni";"2024";19893;"osoba";"";
3000000;"WIELKOPOLSKIE";"kobiety";"2015";53807;"osoba";"";
3000000;"WIELKOPOLSKIE";"kobiety";"2016";45716;"osoba";"";
3000000;"WIELKOPOLSKIE";"kobiety";"2017";35766;"osoba";"";
3000000;"WIELKOPOLSKIE";"kobiety";"2018";31452;"osoba";"";
