"Kod";"Nazwa";"Wiek";"Płeć";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"ogółem";"ogółem";"2015";1563339;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2016";1335155;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2017";1081746;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2018";968888;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2019";866374;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2020";1046432;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2021";895203;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2022";812301;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2023";788229;"osoba";"";
0000000;"POLSKA";"ogółem";"ogółem";"2024";786179;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2015";747201;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2016";622928;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2017";486216;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2018";426246;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2019";386959;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2020";484826;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2021";413268;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2022";375892;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2023";373293;"osoba";"";
0000000;"POLSKA";"ogółem";"mężczyźni";"2024";380373;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2015";816138;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2016";712227;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2017";595530;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2018";542642;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2019";479415;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2020";561606;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2021";481935;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2022";436409;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2023";414936;"osoba";"";
0000000;"POLSKA";"ogółem";"kobiety";"2024";405806;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"ogółem";"2015";236837;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"ogółem";"2016";179203;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"ogółem";"2017";134333;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"ogółem";"2018";118577;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"ogółem";"2019";106145;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"ogółem";"2020";130815;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"ogółem";"2021";100597;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"ogółem";"2022";100373;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"ogółem";"2023";100763;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"ogółem";"2024";101855;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"mężczyźni";"2015";108088;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"mężczyźni";"2016";77201;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"mężczyźni";"2017";53397;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"mężczyźni";"2018";46136;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"mężczyźni";"2019";42624;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"mężczyźni";"2020";56963;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"mężczyźni";"2021";43705;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"mężczyźni";"2022";45553;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"mężczyźni";"2023";46406;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"mężczyźni";"2024";48457;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"kobiety";"2015";128749;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"kobiety";"2016";102002;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"kobiety";"2017";80936;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"kobiety";"2018";72441;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"kobiety";"2019";63521;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"kobiety";"2020";73852;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"kobiety";"2021";56892;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"kobiety";"2022";54820;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"kobiety";"2023";54357;"osoba";"";
0000000;"POLSKA";"24 lata i mniej";"kobiety";"2024";53398;"osoba";"";
0000000;"POLSKA";"25 i więcej";"ogółem";"2015";1326502;"osoba";"";
0000000;"POLSKA";"25 i więcej";"ogółem";"2016";1155952;"osoba";"";
0000000;"POLSKA";"25 i więcej";"ogółem";"2017";947413;"osoba";"";
0000000;"POLSKA";"25 i więcej";"ogółem";"2018";850311;"osoba";"";
0000000;"POLSKA";"25 i więcej";"ogółem";"2019";760229;"osoba";"";
0000000;"POLSKA";"25 i więcej";"ogółem";"2020";915617;"osoba";"";
0000000;"POLSKA";"25 i więcej";"ogółem";"2021";794606;"osoba";"";
0000000;"POLSKA";"25 i więcej";"ogółem";"2022";711928;"osoba";"";
0000000;"POLSKA";"25 i więcej";"ogółem";"2023";687466;"osoba";"";
0000000;"POLSKA";"25 i więcej";"ogółem";"2024";684324;"osoba";"";
0000000;"POLSKA";"25 i więcej";"mężczyźni";"2015";639113;"osoba";"";
0000000;"POLSKA";"25 i więcej";"mężczyźni";"2016";545727;"osoba";"";
0000000;"POLSKA";"25 i więcej";"mężczyźni";"2017";432819;"osoba";"";
0000000;"POLSKA";"25 i więcej";"mężczyźni";"2018";380110;"osoba";"";
0000000;"POLSKA";"25 i więcej";"mężczyźni";"2019";344335;"osoba";"";
0000000;"POLSKA";"25 i więcej";"mężczyźni";"2020";427863;"osoba";"";
0000000;"POLSKA";"25 i więcej";"mężczyźni";"2021";369563;"osoba";"";
0000000;"POLSKA";"25 i więcej";"mężczyźni";"2022";330339;"osoba";"";
0000000;"POLSKA";"25 i więcej";"mężczyźni";"2023";326887;"osoba";"";
0000000;"POLSKA";"25 i więcej";"mężczyźni";"2024";331916;"osoba";"";
0000000;"POLSKA";"25 i więcej";"kobiety";"2015";687389;"osoba";"";
0000000;"POLSKA";"25 i więcej";"kobiety";"2016";610225;"osoba";"";
0000000;"POLSKA";"25 i więcej";"kobiety";"2017";514594;"osoba";"";
0000000;"POLSKA";"25 i więcej";"kobiety";"2018";470201;"osoba";"";
0000000;"POLSKA";"25 i więcej";"kobiety";"2019";415894;"osoba";"";
0000000;"POLSKA";"25 i więcej";"kobiety";"2020";487754;"osoba";"";
0000000;"POLSKA";"25 i więcej";"kobiety";"2021";425043;"osoba";"";
0000000;"POLSKA";"25 i więcej";"kobiety";"2022";381589;"osoba";"";
0000000;"POLSKA";"25 i więcej";"kobiety";"2023";360579;"osoba";"";
0000000;"POLSKA";"25 i więcej";"kobiety";"2024";352408;"osoba";"";
0000000;"POLSKA";"25-34";"ogółem";"2015";429799;"osoba";"";
0000000;"POLSKA";"25-34";"ogółem";"2016";370141;"osoba";"";
0000000;"POLSKA";"25-34";"ogółem";"2017";303039;"osoba";"";
0000000;"POLSKA";"25-34";"ogółem";"2018";271669;"osoba";"";
0000000;"POLSKA";"25-34";"ogółem";"2019";236601;"osoba";"";
0000000;"POLSKA";"25-34";"ogółem";"2020";283905;"osoba";"";
0000000;"POLSKA";"25-34";"ogółem";"2021";230919;"osoba";"";
0000000;"POLSKA";"25-34";"ogółem";"2022";198314;"osoba";"";
0000000;"POLSKA";"25-34";"ogółem";"2023";186506;"osoba";"";
0000000;"POLSKA";"25-34";"ogółem";"2024";180423;"osoba";"";
0000000;"POLSKA";"25-34";"mężczyźni";"2015";169628;"osoba";"";
0000000;"POLSKA";"25-34";"mężczyźni";"2016";136257;"osoba";"";
0000000;"POLSKA";"25-34";"mężczyźni";"2017";100761;"osoba";"";
0000000;"POLSKA";"25-34";"mężczyźni";"2018";85836;"osoba";"";
0000000;"POLSKA";"25-34";"mężczyźni";"2019";75368;"osoba";"";
0000000;"POLSKA";"25-34";"mężczyźni";"2020";99215;"osoba";"";
0000000;"POLSKA";"25-34";"mężczyźni";"2021";78136;"osoba";"";
0000000;"POLSKA";"25-34";"mężczyźni";"2022";67559;"osoba";"";
0000000;"POLSKA";"25-34";"mężczyźni";"2023";66571;"osoba";"";
0000000;"POLSKA";"25-34";"mężczyźni";"2024";67691;"osoba";"";
0000000;"POLSKA";"25-34";"kobiety";"2015";260171;"osoba";"";
0000000;"POLSKA";"25-34";"kobiety";"2016";233884;"osoba";"";
0000000;"POLSKA";"25-34";"kobiety";"2017";202278;"osoba";"";
0000000;"POLSKA";"25-34";"kobiety";"2018";185833;"osoba";"";
0000000;"POLSKA";"25-34";"kobiety";"2019";161233;"osoba";"";
0000000;"POLSKA";"25-34";"kobiety";"2020";184690;"osoba";"";
0000000;"POLSKA";"25-34";"kobiety";"2021";152783;"osoba";"";
0000000;"POLSKA";"25-34";"kobiety";"2022";130755;"osoba";"";
0000000;"POLSKA";"25-34";"kobiety";"2023";119935;"osoba";"";
0000000;"POLSKA";"25-34";"kobiety";"2024";112732;"osoba";"";
0000000;"POLSKA";"35-44";"ogółem";"2015";332887;"osoba";"";
0000000;"POLSKA";"35-44";"ogółem";"2016";295010;"osoba";"";
0000000;"POLSKA";"35-44";"ogółem";"2017";250559;"osoba";"";
0000000;"POLSKA";"35-44";"ogółem";"2018";230053;"osoba";"";
0000000;"POLSKA";"35-44";"ogółem";"2019";208294;"osoba";"";
0000000;"POLSKA";"35-44";"ogółem";"2020";260819;"osoba";"";
0000000;"POLSKA";"35-44";"ogółem";"2021";230176;"osoba";"";
0000000;"POLSKA";"35-44";"ogółem";"2022";207584;"osoba";"";
0000000;"POLSKA";"35-44";"ogółem";"2023";201955;"osoba";"";
0000000;"POLSKA";"35-44";"ogółem";"2024";201883;"osoba";"";
0000000;"POLSKA";"35-44";"mężczyźni";"2015";145370;"osoba";"";
0000000;"POLSKA";"35-44";"mężczyźni";"2016";125313;"osoba";"";
0000000;"POLSKA";"35-44";"mężczyźni";"2017";101248;"osoba";"";
0000000;"POLSKA";"35-44";"mężczyźni";"2018";89551;"osoba";"";
0000000;"POLSKA";"35-44";"mężczyźni";"2019";82237;"osoba";"";
0000000;"POLSKA";"35-44";"mężczyźni";"2020";108525;"osoba";"";
0000000;"POLSKA";"35-44";"mężczyźni";"2021";93887;"osoba";"";
0000000;"POLSKA";"35-44";"mężczyźni";"2022";83918;"osoba";"";
0000000;"POLSKA";"35-44";"mężczyźni";"2023";84462;"osoba";"";
0000000;"POLSKA";"35-44";"mężczyźni";"2024";86638;"osoba";"";
0000000;"POLSKA";"35-44";"kobiety";"2015";187517;"osoba";"";
0000000;"POLSKA";"35-44";"kobiety";"2016";169697;"osoba";"";
0000000;"POLSKA";"35-44";"kobiety";"2017";149311;"osoba";"";
0000000;"POLSKA";"35-44";"kobiety";"2018";140502;"osoba";"";
0000000;"POLSKA";"35-44";"kobiety";"2019";126057;"osoba";"";
0000000;"POLSKA";"35-44";"kobiety";"2020";152294;"osoba";"";
0000000;"POLSKA";"35-44";"kobiety";"2021";136289;"osoba";"";
0000000;"POLSKA";"35-44";"kobiety";"2022";123666;"osoba";"";
0000000;"POLSKA";"35-44";"kobiety";"2023";117493;"osoba";"";
0000000;"POLSKA";"35-44";"kobiety";"2024";115245;"osoba";"";
