"Kod";"Nazwa";"Poziomy wykształcenia";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"wyższe";"2015";12,8;"%";"";
0000000;"POLSKA";"wyższe";"2016";13,3;"%";"";
0000000;"POLSKA";"wyższe";"2017";13,8;"%";"";
0000000;"POLSKA";"wyższe";"2018";14,1;"%";"";
0000000;"POLSKA";"wyższe";"2019";14,4;"%";"";
0000000;"POLSKA";"wyższe";"2020";14,7;"%";"";
0000000;"POLSKA";"wyższe";"2021";14,3;"%";"";
0000000;"POLSKA";"wyższe";"2022";14,4;"%";"";
0000000;"POLSKA";"wyższe";"2023";14,4;"%";"";
0000000;"POLSKA";"wyższe";"2024";14,8;"%";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"2015";21,8;"%";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"2016";21,7;"%";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"2017";21,7;"%";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"2018";22,0;"%";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"2019";22,1;"%";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"2020";22,1;"%";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"2021";22,0;"%";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"2022";22,2;"%";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"2023";22,3;"%";"";
0000000;"POLSKA";"policealne oraz średnie zawodowe";"2024";22,4;"%";"";
0000000;"POLSKA";"średnie ogólnokształcące";"2015";10,5;"%";"";
0000000;"POLSKA";"średnie ogólnokształcące";"2016";10,6;"%";"";
0000000;"POLSKA";"średnie ogólnokształcące";"2017";10,8;"%";"";
0000000;"POLSKA";"średnie ogólnokształcące";"2018";11,3;"%";"";
0000000;"POLSKA";"średnie ogólnokształcące";"2019";11,4;"%";"";
0000000;"POLSKA";"średnie ogólnokształcące";"2020";12,0;"%";"";
0000000;"POLSKA";"średnie ogólnokształcące";"2021";12,0;"%";"";
0000000;"POLSKA";"średnie ogólnokształcące";"2022";11,9;"%";"";
0000000;"POLSKA";"średnie ogólnokształcące";"2023";12,2;"%";"";
0000000;"POLSKA";"średnie ogólnokształcące";"2024";12,5;"%";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"2015";27,2;"%";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"2016";26,6;"%";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"2017";26,0;"%";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"2018";25,6;"%";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"2019";25,5;"%";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"2020";24,9;"%";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"2021";24,7;"%";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"2022";25,0;"%";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"2023";24,9;"%";"";
0000000;"POLSKA";"zasadnicze zawodowe/branżowe";"2024";24,5;"%";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"2015";27,7;"%";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"2016";27,9;"%";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"2017";27,6;"%";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"2018";27,0;"%";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"2019";26,5;"%";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"2020";26,3;"%";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"2021";27,0;"%";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"2022";26,5;"%";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"2023";26,2;"%";"";
0000000;"POLSKA";"gimnazjalne, podstawowe i niepełne podstawowe";"2024";25,8;"%";"";
1400000;"MAZOWIECKIE";"wyższe";"2015";14,9;"%";"";
1400000;"MAZOWIECKIE";"wyższe";"2016";15,4;"%";"";
1400000;"MAZOWIECKIE";"wyższe";"2017";16,2;"%";"";
1400000;"MAZOWIECKIE";"wyższe";"2018";16,3;"%";"";
1400000;"MAZOWIECKIE";"wyższe";"2019";16,7;"%";"";
1400000;"MAZOWIECKIE";"wyższe";"2020";17,6;"%";"";
1400000;"MAZOWIECKIE";"wyższe";"2021";17,1;"%";"";
1400000;"MAZOWIECKIE";"wyższe";"2022";17,2;"%";"";
1400000;"MAZOWIECKIE";"wyższe";"2023";17,2;"%";"";
1400000;"MAZOWIECKIE";"wyższe";"2024";17,7;"%";"";
1400000;"MAZOWIECKIE";"policealne oraz średnie zawodowe";"2015";21,8;"%";"";
1400000;"MAZOWIECKIE";"policealne oraz średnie zawodowe";"2016";21,7;"%";"";
1400000;"MAZOWIECKIE";"policealne oraz średnie zawodowe";"2017";21,6;"%";"";
1400000;"MAZOWIECKIE";"policealne oraz średnie zawodowe";"2018";21,6;"%";"";
1400000;"MAZOWIECKIE";"policealne oraz średnie zawodowe";"2019";21,5;"%";"";
1400000;"MAZOWIECKIE";"policealne oraz średnie zawodowe";"2020";21,6;"%";"";
1400000;"MAZOWIECKIE";"policealne oraz średnie zawodowe";"2021";21,3;"%";"";
1400000;"MAZOWIECKIE";"policealne oraz średnie zawodowe";"2022";21,7;"%";"";
1400000;"MAZOWIECKIE";"policealne oraz średnie zawodowe";"2023";21,6;"%";"";
1400000;"MAZOWIECKIE";"policealne oraz średnie zawodowe";"2024";21,5;"%";"";
1400000;"MAZOWIECKIE";"średnie ogólnokształcące";"2015";11,2;"%";"";
1400000;"MAZOWIECKIE";"średnie ogólnokształcące";"2016";11,2;"%";"";
1400000;"MAZOWIECKIE";"średnie ogólnokształcące";"2017";11,6;"%";"";
1400000;"MAZOWIECKIE";"średnie ogólnokształcące";"2018";11,8;"%";"";
1400000;"MAZOWIECKIE";"średnie ogólnokształcące";"2019";12,0;"%";"";
1400000;"MAZOWIECKIE";"średnie ogólnokształcące";"2020";12,9;"%";"";
1400000;"MAZOWIECKIE";"średnie ogólnokształcące";"2021";12,8;"%";"";
1400000;"MAZOWIECKIE";"średnie ogólnokształcące";"2022";12,7;"%";"";
1400000;"MAZOWIECKIE";"średnie ogólnokształcące";"2023";13,0;"%";"";
1400000;"MAZOWIECKIE";"średnie ogólnokształcące";"2024";13,4;"%";"";
1400000;"MAZOWIECKIE";"zasadnicze zawodowe/branżowe";"2015";24,5;"%";"";
1400000;"MAZOWIECKIE";"zasadnicze zawodowe/branżowe";"2016";24,1;"%";"";
1400000;"MAZOWIECKIE";"zasadnicze zawodowe/branżowe";"2017";23,4;"%";"";
1400000;"MAZOWIECKIE";"zasadnicze zawodowe/branżowe";"2018";23,3;"%";"";
1400000;"MAZOWIECKIE";"zasadnicze zawodowe/branżowe";"2019";23,3;"%";"";
1400000;"MAZOWIECKIE";"zasadnicze zawodowe/branżowe";"2020";22,0;"%";"";
1400000;"MAZOWIECKIE";"zasadnicze zawodowe/branżowe";"2021";21,8;"%";"";
1400000;"MAZOWIECKIE";"zasadnicze zawodowe/branżowe";"2022";21,7;"%";"";
1400000;"MAZOWIECKIE";"zasadnicze zawodowe/branżowe";"2023";21,6;"%";"";
1400000;"MAZOWIECKIE";"zasadnicze zawodowe/branżowe";"2024";21,1;"%";"";
1400000;"MAZOWIECKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2015";27,5;"%";"";
1400000;"MAZOWIECKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2016";27,5;"%";"";
1400000;"MAZOWIECKIE";"gimnazjalne, podstawowe i niepełne podstawowe";"2017";27,1;"%";"";
