"Kod";"Nazwa";"Grupy wieku";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"24 lata i mniej";"2015";15,1;"%";"";
0000000;"POLSKA";"24 lata i mniej";"2016";13,4;"%";"";
0000000;"POLSKA";"24 lata i mniej";"2017";12,4;"%";"";
0000000;"POLSKA";"24 lata i mniej";"2018";12,2;"%";"";
0000000;"POLSKA";"24 lata i mniej";"2019";12,3;"%";"";
0000000;"POLSKA";"24 lata i mniej";"2020";12,5;"%";"";
0000000;"POLSKA";"24 lata i mniej";"2021";11,2;"%";"";
0000000;"POLSKA";"24 lata i mniej";"2022";12,4;"%";"";
0000000;"POLSKA";"24 lata i mniej";"2023";12,8;"%";"";
0000000;"POLSKA";"24 lata i mniej";"2024";13,0;"%";"";
0000000;"POLSKA";"25-34";"2015";27,5;"%";"";
0000000;"POLSKA";"25-34";"2016";27,7;"%";"";
0000000;"POLSKA";"25-34";"2017";28,0;"%";"";
0000000;"POLSKA";"25-34";"2018";28,0;"%";"";
0000000;"POLSKA";"25-34";"2019";27,3;"%";"";
0000000;"POLSKA";"25-34";"2020";27,1;"%";"";
0000000;"POLSKA";"25-34";"2021";25,8;"%";"";
0000000;"POLSKA";"25-34";"2022";24,4;"%";"";
0000000;"POLSKA";"25-34";"2023";23,7;"%";"";
0000000;"POLSKA";"25-34";"2024";22,9;"%";"";
0000000;"POLSKA";"35-44";"2015";21,3;"%";"";
0000000;"POLSKA";"35-44";"2016";22,1;"%";"";
0000000;"POLSKA";"35-44";"2017";23,2;"%";"";
0000000;"POLSKA";"35-44";"2018";23,7;"%";"";
0000000;"POLSKA";"35-44";"2019";24,0;"%";"";
0000000;"POLSKA";"35-44";"2020";24,9;"%";"";
0000000;"POLSKA";"35-44";"2021";25,7;"%";"";
0000000;"POLSKA";"35-44";"2022";25,6;"%";"";
0000000;"POLSKA";"35-44";"2023";25,6;"%";"";
0000000;"POLSKA";"35-44";"2024";25,7;"%";"";
1400000;"MAZOWIECKIE";"24 lata i mniej";"2015";14,0;"%";"";
1400000;"MAZOWIECKIE";"24 lata i mniej";"2016";12,3;"%";"";
1400000;"MAZOWIECKIE";"24 lata i mniej";"2017";11,7;"%";"";
1400000;"MAZOWIECKIE";"24 lata i mniej";"2018";11,4;"%";"";
1400000;"MAZOWIECKIE";"24 lata i mniej";"2019";11,3;"%";"";
1400000;"MAZOWIECKIE";"24 lata i mniej";"2020";11,5;"%";"";
1400000;"MAZOWIECKIE";"24 lata i mniej";"2021";10,3;"%";"";
1400000;"MAZOWIECKIE";"24 lata i mniej";"2022";11,1;"%";"";
1400000;"MAZOWIECKIE";"24 lata i mniej";"2023";11,5;"%";"";
1400000;"MAZOWIECKIE";"24 lata i mniej";"2024";11,4;"%";"";
1400000;"MAZOWIECKIE";"25-34";"2015";26,3;"%";"";
1400000;"MAZOWIECKIE";"25-34";"2016";26,3;"%";"";
1400000;"MAZOWIECKIE";"25-34";"2017";26,6;"%";"";
1400000;"MAZOWIECKIE";"25-34";"2018";26,6;"%";"";
1400000;"MAZOWIECKIE";"25-34";"2019";25,8;"%";"";
1400000;"MAZOWIECKIE";"25-34";"2020";26,2;"%";"";
1400000;"MAZOWIECKIE";"25-34";"2021";24,7;"%";"";
