"Kod";"Nazwa";"Okresy";"Typy aktywności i wskaźniki";"Lokalizacje";"Wartość i precyzja";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"ogółem";"wartość liczbowa";"2015";30799;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"ogółem";"wartość liczbowa";"2016";30528;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"ogółem";"wartość liczbowa";"2017";30426;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"ogółem";"wartość liczbowa";"2018";30266;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"ogółem";"wartość liczbowa";"2019";30778;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"ogółem";"wartość liczbowa";"2020";30788;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"ogółem";"wartość liczbowa";"2021";30594;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"ogółem";"wartość liczbowa";"2022";30434;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"ogółem";"wartość liczbowa";"2023";30365;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"ogółem";"wartość liczbowa";"2024";30353;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"w miastach";"wartość liczbowa";"2015";18699;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"w miastach";"wartość liczbowa";"2016";18438;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"w miastach";"wartość liczbowa";"2017";18328;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"w miastach";"wartość liczbowa";"2018";18193;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"w miastach";"wartość liczbowa";"2019";18750;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"w miastach";"wartość liczbowa";"2020";18757;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"w miastach";"wartość liczbowa";"2021";18587;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"w miastach";"wartość liczbowa";"2022";18446;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"w miastach";"wartość liczbowa";"2023";18353;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"w miastach";"wartość liczbowa";"2024";18304;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"na wsi";"wartość liczbowa";"2015";12100;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"na wsi";"wartość liczbowa";"2016";12090;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"na wsi";"wartość liczbowa";"2017";12098;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"na wsi";"wartość liczbowa";"2018";12073;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"na wsi";"wartość liczbowa";"2019";12028;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"na wsi";"wartość liczbowa";"2020";12031;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"na wsi";"wartość liczbowa";"2021";12007;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"na wsi";"wartość liczbowa";"2022";11988;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"na wsi";"wartość liczbowa";"2023";12012;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ludność w wieku 15-89 lat";"na wsi";"wartość liczbowa";"2024";12050;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"ogółem";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"ogółem";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"ogółem";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"ogółem";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"ogółem";"wartość liczbowa";"2019";17148;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"ogółem";"wartość liczbowa";"2020";17282;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"ogółem";"wartość liczbowa";"2021";17639;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"ogółem";"wartość liczbowa";"2022";17773;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"ogółem";"wartość liczbowa";"2023";17852;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"ogółem";"wartość liczbowa";"2024";17754;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"w miastach";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"w miastach";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"w miastach";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"w miastach";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"w miastach";"wartość liczbowa";"2019";10678;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"w miastach";"wartość liczbowa";"2020";10741;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"w miastach";"wartość liczbowa";"2021";10812;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"w miastach";"wartość liczbowa";"2022";10880;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"w miastach";"wartość liczbowa";"2023";10887;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"w miastach";"wartość liczbowa";"2024";10779;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"na wsi";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"na wsi";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"na wsi";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"na wsi";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"na wsi";"wartość liczbowa";"2019";6470;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"na wsi";"wartość liczbowa";"2020";6541;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"na wsi";"wartość liczbowa";"2021";6827;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"na wsi";"wartość liczbowa";"2022";6893;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"na wsi";"wartość liczbowa";"2023";6965;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"aktywni zawodowo";"na wsi";"wartość liczbowa";"2024";6974;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"ogółem";"wartość liczbowa";"2015";15451;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"ogółem";"wartość liczbowa";"2016";15708;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"ogółem";"wartość liczbowa";"2017";16045;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"ogółem";"wartość liczbowa";"2018";16128;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"ogółem";"wartość liczbowa";"2019";16479;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"ogółem";"wartość liczbowa";"2020";16740;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"ogółem";"wartość liczbowa";"2021";16928;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"ogółem";"wartość liczbowa";"2022";17222;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"ogółem";"wartość liczbowa";"2023";17332;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"ogółem";"wartość liczbowa";"2024";17194;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"w miastach";"wartość liczbowa";"2015";9650;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"w miastach";"wartość liczbowa";"2016";9708;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"w miastach";"wartość liczbowa";"2017";9837;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"w miastach";"wartość liczbowa";"2018";9884;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"w miastach";"wartość liczbowa";"2019";10288;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"w miastach";"wartość liczbowa";"2020";10413;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"w miastach";"wartość liczbowa";"2021";10370;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"w miastach";"wartość liczbowa";"2022";10550;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"w miastach";"wartość liczbowa";"2023";10580;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"w miastach";"wartość liczbowa";"2024";10458;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"na wsi";"wartość liczbowa";"2015";5801;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"na wsi";"wartość liczbowa";"2016";6001;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"na wsi";"wartość liczbowa";"2017";6208;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"na wsi";"wartość liczbowa";"2018";6243;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"na wsi";"wartość liczbowa";"2019";6192;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"na wsi";"wartość liczbowa";"2020";6327;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"na wsi";"wartość liczbowa";"2021";6558;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"na wsi";"wartość liczbowa";"2022";6672;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"na wsi";"wartość liczbowa";"2023";6752;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"pracujący";"na wsi";"wartość liczbowa";"2024";6737;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"ogółem";"wartość liczbowa";"2015";1493;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"ogółem";"wartość liczbowa";"2016";1201;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"ogółem";"wartość liczbowa";"2017";926;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"ogółem";"wartość liczbowa";"2018";709;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"ogółem";"wartość liczbowa";"2019";668;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"ogółem";"wartość liczbowa";"2020";542;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"ogółem";"wartość liczbowa";"2021";711;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"ogółem";"wartość liczbowa";"2022";551;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"ogółem";"wartość liczbowa";"2023";520;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"ogółem";"wartość liczbowa";"2024";559;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"w miastach";"wartość liczbowa";"2015";863;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"w miastach";"wartość liczbowa";"2016";680;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"w miastach";"wartość liczbowa";"2017";516;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"w miastach";"wartość liczbowa";"2018";382;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"w miastach";"wartość liczbowa";"2019";390;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"w miastach";"wartość liczbowa";"2020";328;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"w miastach";"wartość liczbowa";"2021";442;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"w miastach";"wartość liczbowa";"2022";330;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"w miastach";"wartość liczbowa";"2023";306;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"w miastach";"wartość liczbowa";"2024";322;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"na wsi";"wartość liczbowa";"2015";631;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"na wsi";"wartość liczbowa";"2016";521;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"na wsi";"wartość liczbowa";"2017";411;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"na wsi";"wartość liczbowa";"2018";327;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"na wsi";"wartość liczbowa";"2019";278;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"na wsi";"wartość liczbowa";"2020";214;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"na wsi";"wartość liczbowa";"2021";269;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"na wsi";"wartość liczbowa";"2022";221;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"na wsi";"wartość liczbowa";"2023";213;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bezrobotni";"na wsi";"wartość liczbowa";"2024";237;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"ogółem";"wartość liczbowa";"2015";13855;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"ogółem";"wartość liczbowa";"2016";13619;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"ogółem";"wartość liczbowa";"2017";13455;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"ogółem";"wartość liczbowa";"2018";13429;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"ogółem";"wartość liczbowa";"2019";13630;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"ogółem";"wartość liczbowa";"2020";13507;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"ogółem";"wartość liczbowa";"2021";12955;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"ogółem";"wartość liczbowa";"2022";12660;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"ogółem";"wartość liczbowa";"2023";12513;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"ogółem";"wartość liczbowa";"2024";12600;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"w miastach";"wartość liczbowa";"2015";8187;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"w miastach";"wartość liczbowa";"2016";8050;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"w miastach";"wartość liczbowa";"2017";7976;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"bierni zawodowo";"w miastach";"wartość liczbowa";"2018";7926;"tys. osób";"";
