"Kod";"Nazwa";"Okresy";"Płeć";"Czas pracy";"Sekcje wg PKD";"Wartość i precyzja";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"ogółem";"wartość liczbowa";"2015";15451;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"ogółem";"wartość liczbowa";"2016";15708;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"ogółem";"wartość liczbowa";"2017";16045;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"ogółem";"wartość liczbowa";"2018";16128;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"ogółem";"wartość liczbowa";"2019";16479;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"ogółem";"wartość liczbowa";"2020";16740;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"ogółem";"wartość liczbowa";"2021";16928;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"ogółem";"wartość liczbowa";"2022";17222;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"ogółem";"wartość liczbowa";"2023";17332;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"ogółem";"wartość liczbowa";"2024";17194;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2021";1426;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2022";1365;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2023";1281;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"rolnictwo, łowiectwo i leśnictwo; rybactwo";"wartość liczbowa";"2024";1168;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2018";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2019";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2020";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2021";5288;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2022";5392;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2023";5179;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"przemysł i budownictwo";"wartość liczbowa";"2024";5112;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"usługi";"wartość liczbowa";"2015";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"usługi";"wartość liczbowa";"2016";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"usługi";"wartość liczbowa";"2017";;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"usługi";"wartość liczbowa";"2018";;"tys. osób";"";
