"Kod";"Nazwa";"Okresy";"Płeć";"Grupy wieku";"Wartość i precyzja";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2015";16944;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2016";16909;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2017";16971;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2018";16837;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2019";17148;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2020";17282;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2021";17639;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2022";17773;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2023";17852;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"ogółem";"wartość liczbowa";"2024";17754;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2015";1362;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2016";1382;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2017";1317;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2018";1298;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2019";1225;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2020";1238;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2021";1097;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2022";1114;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2023";1127;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"15-24";"wartość liczbowa";"2024";1111;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2015";4726;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2016";4668;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2017";4566;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2018";4423;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2019";4326;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2020";4300;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2021";4201;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2022";4073;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2023";4036;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"25-34";"wartość liczbowa";"2024";3908;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2015";4581;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2016";4602;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2017";4702;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2018";4770;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2019";5078;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2020";5082;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2021";5249;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2022";5258;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2023";5225;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"ogółem";"35-44";"wartość liczbowa";"2024";5211;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2015";9288;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2016";9279;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2017";9312;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2018";9243;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2019";9418;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2020";9524;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2021";9714;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2022";9717;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2023";9708;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"ogółem";"wartość liczbowa";"2024";9587;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2015";810;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2016";804;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2017";760;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2018";757;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2019";686;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2020";673;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2021";649;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2022";667;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2023";659;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"15-24";"wartość liczbowa";"2024";607;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2015";2579;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2016";2566;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2017";2527;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2018";2456;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2019";2410;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2020";2421;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2021";2349;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2022";2234;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2023";2188;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"25-34";"wartość liczbowa";"2024";2129;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2015";2472;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2016";2483;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2017";2544;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2018";2572;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2019";2759;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2020";2754;"tys. osób";"";
0000000;"POLSKA";"1 kwartał";"mężczyźni";"35-44";"wartość liczbowa";"2021";2832;"tys. osób";"";
