"Kod";"Nazwa";"3 kwartał;ogółem;ogółem;wartość liczbowa;2019;[tys. osób]";
0000000;"POLSKA";17474;
0200000;"DOLNOŚLĄSKIE";1419;
0400000;"KUJAWSKO-POMORSKIE";933;
0600000;"LUBELSKIE";901;
0800000;"LUBUSKIE";449;
1000000;"ŁÓDZKIE";1100;
1200000;"MAŁOPOLSKIE";1529;
1400000;"MAZOWIECKIE";2734;
1600000;"OPOLSKIE";439;
1800000;"PODKARPACKIE";851;
2000000;"PODLASKIE";523;
2200000;"POMORSKIE";1116;
2400000;"ŚLĄSKIE";1968;
2600000;"ŚWIĘTOKRZYSKIE";497;
2800000;"WARMIŃSKO-MAZURSKIE";585;
3000000;"WIELKOPOLSKIE";1695;
3200000;"ZACHODNIOPOMORSKIE";736;
